HRR,Total Hospital Beds,Total ICU Beds,Available Hospital Beds,Potentially Available Hospital Beds*,Available ICU Beds,Potentially Available ICU Beds*,Adult Population,Population 65+,Projected Infected Individuals,Projected Hospitalized Individuals,Projected Individuals Needing ICU Care,"Hospital Beds Needed, Six Months","Percentage of Available Beds Needed, Six Months","Percentage of Potentially Available Beds Needed, Six Months","Percentage of Total Beds Needed, Six Months","Hospital Beds Needed, Twelve Months","Percentage of Available Beds Needed, Twelve Months","Percentage of Potentially Available Beds Needed, Twelve Months","Percentage of Total Beds Needed, Twelve Months","Hospital Beds Needed, Eighteen Months","Percentage of Available Beds Needed, Eighteen Months","Percentage of Potentially Available Beds Needed, Eighteen Months","Percentage of Total Beds Needed, Eighteen Months","ICU Beds Needed, Six Months","Percentage of Available ICU Beds Needed, Six Months","Percentage of Potentially Available ICU Beds Needed, Six Months","Percentage of Total ICU Beds Needed, Six Months","ICU Beds Needed, Twelve Months","Percentage of Available ICU Beds Needed, Twelve Months","Percentage of Potentially Available ICU Beds Needed, Twelve Months","Percentage of Total ICU Beds Needed, Twelve Months","ICU Beds Needed, Eighteen Months","Percentage of Available ICU Beds Needed, Eighteen Months","Percentage of Potentially Available ICU Beds Needed, Eighteen Months","Percentage of Total ICU Beds Needed, Eighteen Months"
"Anchorage, AK",1583,130,533,1058,55,93,551912,74327,331147,67155,13967,4477,840%,423%,283%,2238,420%,212%,141%,1460,274%,138%,92%,931,1693%,1001%,716%,466,847%,501%,358%,304,553%,327%,234%
"Ann Arbor, MI",3014,406,876,1945,122,264,1115589,209105,669353,139096,29825,9273,1059%,477%,308%,4637,529%,238%,154%,3024,345%,155%,100%,1988,1630%,753%,490%,994,815%,377%,245%,648,531%,245%,160%
"Appleton, WI",448,72,222,335,37,54,254546,52373,152728,32004,6931,2134,961%,637%,476%,1067,481%,319%,238%,696,314%,208%,155%,462,1249%,856%,642%,231,624%,428%,321%,151,408%,280%,210%
"Arlington, VA",3116,450,995,2055,173,312,1909537,270129,1145722,233085,48674,15539,1562%,756%,499%,7770,781%,378%,249%,5067,509%,247%,163%,3245,1876%,1040%,721%,1622,938%,520%,360%,1058,612%,339%,235%
"Asheville, NC",1541,232,556,1048,76,154,553131,146572,331879,71412,15949,4761,856%,454%,309%,2380,428%,227%,154%,1552,279%,148%,101%,1063,1399%,690%,458%,532,700%,345%,229%,347,457%,225%,150%
"Atlanta, GA",12780,1621,3338,8059,436,1029,5027281,799338,3016369,618672,130533,41245,1236%,512%,323%,20622,618%,256%,161%,13449,403%,167%,105%,8702,1996%,846%,537%,4351,998%,423%,268%,2838,651%,276%,175%
"Augusta, GA",2194,349,831,1512,106,227,540242,105665,324145,67610,14563,4507,542%,298%,205%,2254,271%,149%,103%,1470,177%,97%,67%,971,916%,428%,278%,485,458%,214%,139%,317,299%,140%,91%
"Aurora, IL",527,55,286,406,25,40,245644,34035,147386,29943,6242,1996,698%,492%,379%,998,349%,246%,189%,651,228%,160%,124%,416,1664%,1040%,756%,208,832%,520%,378%,136,544%,340%,247%
"Austin, TX",2775,393,1003,1889,161,277,1523446,208426,914068,185553,38641,12370,1233%,655%,446%,6185,617%,327%,223%,4034,402%,214%,145%,2576,1600%,930%,655%,1288,800%,465%,328%,840,522%,303%,214%
"Bakersfield, CA",2429,191,692,1561,88,140,847115,123309,508269,103600,21687,6907,998%,442%,284%,3453,499%,221%,142%,2252,325%,144%,93%,1446,1643%,1033%,757%,723,822%,516%,379%,471,535%,336%,247%
